Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
China,CHN,1960,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,482.386
China,CHN,1961,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,410.621
China,CHN,1962,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,319.608
China,CHN,1963,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,313.046
China,CHN,1964,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,304.531
China,CHN,1965,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,294.639
China,CHN,1966,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,287.47
China,CHN,1967,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,278.798
China,CHN,1968,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,270.363
China,CHN,1969,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,262.09
China,CHN,1970,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,252.61
China,CHN,1971,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,242.725
China,CHN,1972,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,232.659
China,CHN,1973,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,220.422
China,CHN,1974,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,210.939
China,CHN,1975,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,202.972
China,CHN,1976,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,194.472
China,CHN,1977,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,186.93
China,CHN,1978,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,180.24
China,CHN,1979,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,173.98
China,CHN,1980,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,168.287
China,CHN,1981,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,162.328
China,CHN,1982,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,156.96
China,CHN,1983,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,151.661
China,CHN,1984,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,147.032
China,CHN,1985,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,142.348
China,CHN,1986,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,137.699
China,CHN,1987,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,132.592
China,CHN,1988,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,128.426
China,CHN,1989,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,125.05
China,CHN,1990,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,123.608
China,CHN,1991,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,124.306
China,CHN,1992,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,117.305
China,CHN,1993,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,111.374
China,CHN,1994,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,109.794
China,CHN,1995,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,104.662
China,CHN,1996,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,103.217
China,CHN,1997,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,99.915
China,CHN,1998,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,94.494
China,CHN,1999,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,95.624
China,CHN,2000,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,91.391
China,CHN,2001,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,83.561
China,CHN,2002,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,81.579
China,CHN,2003,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,79.726
China,CHN,2004,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,77.982
China,CHN,2005,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,76.045
China,CHN,2006,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,74.384
China,CHN,2007,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,72.726
China,CHN,2008,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,73.884
China,CHN,2009,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,69.668
China,CHN,2010,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,68.689
China,CHN,2011,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,67.265
China,CHN,2012,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,65.718
China,CHN,2013,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,64.805
China,CHN,2014,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,63.549
China,CHN,2015,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,62.27
China,CHN,2016,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,60.918
China,CHN,2017,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,59.587
China,CHN,2018,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,57.884
China,CHN,2019,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,56.969
China,CHN,2020,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,55.437
China,CHN,2021,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,54.207
